id,name,updated_at,created_at,photo_url,challenge_id
133509,Dados e Indicadores ,2025-07-15T12:54:15,2025-07-15T12:54:15,https://images.unsplash.com/photo-1686061592689-312bbfb5c055?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMjcxOTB8MHwxfHNlYXJjaHwxOHx8ZGFkb3MlMjBlJTIwaW5kaWNhZG9yZXN8ZW58MHx8fHwxNzUyNTgzOTk3fDA&ixlib=rb-4.1.0&q=80&w=1080,1851597
133512,Estudos e Proteção ,2025-07-20T15:43:23,2025-07-15T12:58:01,https://cdn.gymrats.app/0a3bb8f0-ba39-432a-ba66-2b7b0c4ee839.jpg,1851597
133513,Planejamento de Redes,2025-07-15T12:59:34,2025-07-15T12:59:34,https://images.unsplash.com/photo-1553816077-050e9940b74e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMjcxOTB8MHwxfHNlYXJjaHwyN3x8cG9zdGUlMjBkZSUyMGVuZXJnaWElMjB8ZW58MHx8fHwxNzUyNTg0MzQzfDA&ixlib=rb-4.1.0&q=80&w=1080,1851597
133738,Pós Operação ,2025-07-17T15:09:20,2025-07-17T15:09:20,https://images.unsplash.com/photo-1454779132693-e5cd0a216ed3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMjcxOTB8MHwxfHNlYXJjaHwzfHxlbmVyZ2lhfGVufDB8fHx8MTc1Mjc2NDkzM3ww&ixlib=rb-4.1.0&q=80&w=1080,1851597
